web-scraper-order,web-scraper-start-url,product_link,product_link-href,Name,Number_Reviews,Manufacturer,Price,Star_Rating,Review_Link,Review_Link_Href,Review_Count
1580708207-216,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Gift Cards - Email Delivery,https://www.amazon.com/Starbucks-Braile-Siren-Card-Delivery/dp/B07ZSB9QYL/ref=sr_1_2?keywords=starbucks&qid=1580707979&sr=8-2,null,null,null,null,null,See all 161 customer reviews,https://www.amazon.com/Starbucks-Braile-Siren-Card-Delivery/product-reviews/B07ZSB9QYL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,161
1580708144-203,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks 2020 Valentine's Day Limited Edition Clear Glass Mug With Handle Full Of Little Hearts, 12 Fl Oz",https://www.amazon.com/Starbucks-Valentines-Limited-Handle-Little/dp/B083JQ93N3/ref=sr_1_15?keywords=starbucks&qid=1580707979&sr=8-15,"Starbucks 2020 Valentine's Day Limited Edition Clear Glass Mug With Handle Full Of Little Hearts, 12 Fl Oz",null,Starbucks,$39.47 ,null,null,,0
1580708184-211,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks 2019 Holiday Season MIRROR GLITTER PINK COLD CUP (24 OZ),https://www.amazon.com/Starbucks-Holiday-Season-MIRROR-GLITTER/dp/B08177F38F/ref=sr_1_7?keywords=starbucks&qid=1580707979&sr=8-7,Starbucks 2019 Holiday Season MIRROR GLITTER PINK COLD CUP (24 OZ),20 ratings,Starbucks,$30.77 ,4.1 out of 5 stars,See all 8 customer reviews,https://www.amazon.com/Starbucks-Holiday-Season-MIRROR-GLITTER/product-reviews/B08177F38F/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,8
1580708058-184,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Stainless Steel and Ceramic Tumbler Berry and White 12 fl oz,https://www.amazon.com/Starbucks-Stainless-Steel-Ceramic-Tumbler/dp/B00ISB57U6/ref=sr_1_35?keywords=starbucks&qid=1580707979&sr=8-35,Starbucks Stainless Steel and Ceramic Tumbler Berry and White 12 fl oz,42 ratings,Starbucks,$15.89 ,4.3 out of 5 stars,See all 37 customer reviews,https://www.amazon.com/Starbucks-Stainless-Steel-Ceramic-Tumbler/product-reviews/B00ISB57U6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,37
1580708200-214,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks Gift Cards, Multipack of 10",https://www.amazon.com/Starbucks-Gift-Cards-Multipack-10/dp/B07HFTC8PR/ref=sr_1_4?keywords=starbucks&qid=1580707979&sr=8-4,"Starbucks Gift Cards, Multipack of 10",310 ratings,Starbucks,$50.00 ,4.8 out of 5 stars,See all 91 customer reviews,https://www.amazon.com/Starbucks-Gift-Cards-Multipack-10/product-reviews/B07HFTC8PR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,91
1580708204-215,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Starbucks Gift Cards, Multipack of 4",https://www.amazon.com/Starbucks-Gift-Cards-Multipack-10/dp/B00FTGTM5E/ref=sr_1_3?keywords=starbucks&qid=1580707979&sr=8-3,"Starbucks Gift Cards, Multipack of 4","1,293 ratings",Starbucks,$40.00 ,4.8 out of 5 stars,See all 703 customer reviews,https://www.amazon.com/Starbucks-Gift-Cards-Multipack-10/product-reviews/B00FTGTM5E/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,703
1580708123-198,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks 2019 Winter Holidays Lenticular Holographic Cold Cup Tumbler 16oz Red Green,https://www.amazon.com/Starbucks-Holidays-Lenticular-Holographic-Tumbler/dp/B081FGQ65P/ref=sr_1_21?keywords=starbucks&qid=1580707979&sr=8-21,Starbucks 2019 Winter Holidays Lenticular Holographic Cold Cup Tumbler 16oz Red Green,null,Starbucks,$9.49 ,null,null,,0
1580707988-171,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks  Copycat Recipes: Prepare Starbucks Food and Drinks at Home,https://www.amazon.com/Starbucks-Copycat-Recipes-Prepare-Drinks/dp/1701122294/ref=sr_1_48?keywords=starbucks&qid=1580707979&sr=8-48,Starbucks  Copycat Recipes: Prepare Starbucks Food and Drinks at Home,7 ratings,null,$12.99 ,3.9 out of 5 stars,See all 3 customer reviews,https://www.amazon.com/Starbucks-Copycat-Recipes-Prepare-Drinks/product-reviews/1701122294/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,3
1580708043-181,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Holiday 2019 Acrylic Cold Cup Tumbler 20oz Autumn Leaves,https://www.amazon.com/Starbucks-Holiday-Acrylic-Tumbler-Autumn/dp/B081YGKYD3/ref=sr_1_38?keywords=starbucks&qid=1580707979&sr=8-38,Starbucks Holiday 2019 Acrylic Cold Cup Tumbler 20oz Autumn Leaves,2 ratings,Starbucks,$9.95 ,3.0 out of 5 stars,See all 2 customer reviews,https://www.amazon.com/Starbucks-Holiday-Acrylic-Tumbler-Autumn/product-reviews/B081YGKYD3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,2
1580708103-194,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Reusable 3 Hard Plastic Venti 24 oz Frosted Ice Cold Drink Cup With Lid and Green Straw w/Stopper,https://www.amazon.com/Starbucks-Reusable-Plastic-Frosted-Stopper/dp/B07S7MY82H/ref=sr_1_25?keywords=starbucks&qid=1580707979&sr=8-25,Starbucks Reusable 3 Hard Plastic Venti 24 oz Frosted Ice Cold Drink Cup With Lid and Green Straw w/Stopper,75 ratings,Starbucks,$21.15 ,4.5 out of 5 stars,See all 31 customer reviews,https://www.amazon.com/Starbucks-Reusable-Plastic-Frosted-Stopper/product-reviews/B07S7MY82H/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,31
1580708211-217,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks Gift Card,https://www.amazon.com/Starbucks-Gift-Card-25-Packaging/dp/B00AR51Y5I/ref=sr_1_1?keywords=starbucks&qid=1580707979&sr=8-1,Starbucks Gift Card,"4,131 ratings",Starbucks,$25.00 ,4.8 out of 5 stars,"See all 2,549 customer reviews",https://www.amazon.com/Starbucks-Gift-Card-25-Packaging/product-reviews/B00AR51Y5I/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"2,549"
1580708112-196,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,The Starbucks Experience: 5 Principles for Turning Ordinary Into Extraordinary,https://www.amazon.com/Starbucks-Experience-Principles-Ordinary-Extraordinary/dp/0071477845/ref=sr_1_23?keywords=starbucks&qid=1580707979&sr=8-23,The Starbucks Experience: 5 Principles for Turning Ordinary Into Extraordinary,140 ratings,null,$15.29 ,4.2 out of 5 stars,See all 131 customer reviews,https://www.amazon.com/Starbucks-Experience-Principles-Ordinary-Extraordinary/product-reviews/0071477845/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,131
1580708008-174,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,"Ababalaya 3D Print Drawstring Backpack Rucksack Shoulder Bags Gym Bag, Starbucks",https://www.amazon.com/Ababalaya-Drawstring-Backpack-Rucksack-Starbucks/dp/B01IPQSCN2/ref=sr_1_45?keywords=starbucks&qid=1580707979&sr=8-45,"Ababalaya 3D Print Drawstring Backpack Rucksack Shoulder Bags Gym Bag, Starbucks",363 ratings,Ababalaya,$7.85 ,4.3 out of 5 stars,See all 299 customer reviews,https://www.amazon.com/Ababalaya-Drawstring-Backpack-Rucksack-Starbucks/product-reviews/B01IPQSCN2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,299
1580708154-205,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,All About Signs Inc Outta My Way I M Going to Starbucks! Frame,https://www.amazon.com/OUTTA-WAY-GOING-STARBUCKS-frame/dp/B075RM26FL/ref=sr_1_13?keywords=starbucks&qid=1580707979&sr=8-13,All About Signs Inc Outta My Way I M Going to Starbucks! Frame,18 ratings,All About Signs Inc,null,4.9 out of 5 stars,See all 11 customer reviews,https://www.amazon.com/All-About-Signs-Inc-Starbucks/product-reviews/B075RM26FL/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,11
1580708194-213,https://www.amazon.com/s?k=starbucks&ref=nb_sb_noss,Starbucks 2019 Holiday Studded Tumbler Neon Pink,https://www.amazon.com/Starbucks-2019-Holiday-Studded-Tumbler/dp/B0814C85TQ/ref=sr_1_5?keywords=starbucks&qid=1580707979&sr=8-5,Starbucks 2019 Holiday Studded Tumbler Neon Pink,98 ratings,Starbucks,$34.16 ,4.5 out of 5 stars,See all 36 customer reviews,https://www.amazon.com/Starbucks-2019-Holiday-Studded-Tumbler/product-reviews/B0814C85TQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,36
