review,date,source,review_id,sentences,sentence_id,sentence,sent_len,emoji_desc
"Its the first Monday of 2020 .  Youve got this Love , Coffee",2020-01-06 19:28:19,Twitter,57,"['Its the first Monday of 2020 .', 'Youve got this Love , Coffee']",1,"Youve got this Love , Coffee, ",28,
Iced Coffee is always in season . ,2020-01-04 05:27:07,Twitter,58,['Iced Coffee is always in season .'],0,"Iced Coffee is always in season ., ",33,
"As the new year approaches , were reflecting on 2019 .  Heres our Year in Pictures and stories behind them NewYear2020",2019-12-31 21:55:21,Twitter,59,"['As the new year approaches , were reflecting on 2019 .', 'Heres our Year in Pictures and stories behind them NewYear2020']",0,"As the new year approaches , were reflecting on  ., ",54,
"As the new year approaches , were reflecting on 2019 .  Heres our Year in Pictures and stories behind them NewYear2020",2019-12-31 21:55:21,Twitter,59,"['As the new year approaches , were reflecting on 2019 .', 'Heres our Year in Pictures and stories behind them NewYear2020']",1,"Heres our Year in Pictures and stories behind them NewYear, ",62,
"Dont worry , theres coffee . ",2020-01-01 20:30:01,Twitter,60,"['Dont worry , theres coffee .']",0,"Dont worry , theres coffee ., ",28,
Its the last day of 2010swhat was drink decade,2019-12-31 20:29:39,Twitter,61,['Its the last day of 2010swhat was drink decade'],0,"Its the last day of swhat was drink decade, ",46,
Its the last day to join a PopUp Party and grab free tall espresso drink .  Come celebrate with us from 12pm at select U. S.  stores Find party,2019-12-31 19:30:00,Twitter,62,"['Its the last day to join a PopUp Party and grab free tall espresso drink .', 'Come celebrate with us from 12pm at select U. S.  stores Find party']",0,"Its the last day to join a PopUp Party and grab free tall espresso drink ., ",74,
Its the last day to join a PopUp Party and grab free tall espresso drink .  Come celebrate with us from 12pm at select U. S.  stores Find party,2019-12-31 19:30:00,Twitter,62,"['Its the last day to join a PopUp Party and grab free tall espresso drink .', 'Come celebrate with us from 12pm at select U. S.  stores Find party']",1,"Come celebrate with us from pm at select U. S.  stores Find party, ",67,
"Theres still time to donate Donate now BBBSA , UnitedWay or FeedingAmerica and The Starbucks Foundation will match your contribution up 200k for each one600k total .  GiveTogether",2019-12-30 22:49:54,Twitter,63,"['Theres still time to donate Donate now BBBSA , UnitedWay or FeedingAmerica and The Starbucks Foundation will match your contribution up 200k for each one600k total .', 'GiveTogether']",0,"Theres still time to donate Donate now BBBSA , UnitedWay or FeedingAmerica and The Starbucks Foundation will match your contribution up k for each onek total ., ",165,
"Theres still time to donate Donate now BBBSA , UnitedWay or FeedingAmerica and The Starbucks Foundation will match your contribution up 200k for each one600k total .  GiveTogether",2019-12-30 22:49:54,Twitter,63,"['Theres still time to donate Donate now BBBSA , UnitedWay or FeedingAmerica and The Starbucks Foundation will match your contribution up 200k for each one600k total .', 'GiveTogether']",1,"GiveTogether, ",12,
