tweetId,time,text,replies,retweets,likes,entries,keyword
1232670358844530690,2020-02-26 19:44:50,"No need to compromise coziness for calories. 
 Starbucks® Blonde Americano (15 cal)
 Coconutmilk Latte (130 cal)
 Honey Citrus Mint Tea (130 cal)
 London Fog Tea Latte (180 cal)
 Pike Place® Roast (5 cal)
 Starbucks® Blonde Cappuccino (120 cal)pic.twitter.com/UZOoyVUGSQ",56,267,1781,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ERtTFtUUUAEa8R5.jpg'], 'videos': []}",starbucks
1230574854719410176,2020-02-21 00:58:02,"5 drinks to get to know us:

1. Coffee.
2. 𝖎𝖈𝖊𝖉 𝖈𝖔𝖋𝖋𝖊𝖊
3. NITRO COLD BREW
4.  Pink Drink 
5. Grande 2 pump vanilla, 1 pump hazelnut, soymilk, extra hot latte",193,312,3663,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1229984380187181056,2020-02-19 09:51:42,"My Starbucks today had surprise: beautiful coloring, and message on the sleeve.   Many thanks to the student at Clow Elementary who created this.  Such an important message.   Really made my day!pic.twitter.com/Sv3wwQlBMl",11,164,1777,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/ERHIRO-W4AMFYD0.jpg'], 'videos': []}",starbucks
1229475600982781953,2020-02-18 00:10:00,"When I pulled up to the window for my daily afternoon iced coffee at Starbucks, three baristas came up to the window and said ""Evan? It's Evan? Hi Evan! We love Evan!!!"" And it was so cute and so pure... Excuse me I'm busy feeling LOVED BY RELATIVE STRANGERS ",34,134,5800,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1229450437906092042,2020-02-17 22:30:01,"Surround yourself with goodness. 
 #CoconutmilkLatte pic.twitter.com/Wqu6rhBZ3g",47,143,1214,"{'hashtags': ['#CoconutmilkLatte'], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EQrsTA7UcAIVb7l.jpg'], 'videos': []}",starbucks
1229390036048629762,2020-02-17 18:30:00,"We've got your Monday motivation in tall, grande and venti. ",107,434,3423,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1228462699605921792,2020-02-15 05:05:05,Music to our ears. Best Valentine's Day ever.  https://twitter.com/TheEllenShow/status/1228434752035684352 …,13,97,872,"{'hashtags': ['#ThanksSponsor'], 'urls': [], 'photos': [], 'videos': []}",starbucks
1228316506108375041,2020-02-14 19:24:10,"Valentines Day isn’t just about “couples”...it’s about love, something we need more of in this world. Do something for someone else today to spread . Go visit a grandma or grandpa if you’re still blessed to have them. Buy someone behind you a coffee at Starbucks. Spread love.",7,267,1090,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1228378371786186755,2020-02-14 23:30:00,"All you need is love.  

And coffee. ",142,2254,6636,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1228348175502782465,2020-02-14 21:30:01,"Not sure who needs to hear this today, but you are loved. ",158,3458,10337,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
